Year,State,Sex,Education,Count
Aug-16,Australian Capital Territory,Male,Graduate Diploma or Certificate,4100
Aug-16,Australian Capital Territory,Male,Bachelor Degree,24500
Aug-16,Australian Capital Territory,Male,Advanced Diploma or Diploma,13500
Aug-16,Australian Capital Territory,Male,Certificate III or IV,16100
Aug-16,Australian Capital Territory,Male,Year 12 or equivalent,23400
Aug-16,Australian Capital Territory,Male,Year 11 or equivalent,1000
Aug-16,Australian Capital Territory,Male,Year 10 or equivalent,6000
Aug-16,Australian Capital Territory,Female,Postgraduate Degree,15800
Aug-16,Australian Capital Territory,Female,Graduate Diploma or Certificate,10400
Aug-16,Australian Capital Territory,Female,Bachelor Degree,29000
Aug-16,Australian Capital Territory,Female,Advanced Diploma or Diploma,10000
Aug-16,Australian Capital Territory,Female,Certificate III or IV,10900
Aug-16,Australian Capital Territory,Female,Year 12 or equivalent,18200
Aug-16,Australian Capital Territory,Female,Year 11 or equivalent,2800
Aug-16,Australian Capital Territory,Female,Year 10 or equivalent,5900
Aug-16,Total,Male,Postgraduate Degree,460800
Aug-16,Total,Male,Graduate Diploma or Certificate,173600
Aug-16,Total,Male,Bachelor Degree,1170400
Aug-16,Total,Male,Advanced Diploma or Diploma,608100
Aug-16,Total,Male,Certificate III or IV,1601500
Aug-16,Total,Male,Year 12 or equivalent,1115200
Aug-16,Total,Male,Year 11 or equivalent,280900
Aug-16,Total,Male,Year 10 or equivalent,575700
Aug-16,Total,Female,Postgraduate Degree,411800
Aug-16,Total,Female,Graduate Diploma or Certificate,249500
Aug-16,Total,Female,Bachelor Degree,1353200
Aug-16,Total,Female,Advanced Diploma or Diploma,684800
Aug-16,Total,Female,Certificate III or IV,828600
Aug-16,Total,Female,Year 12 or equivalent,1011400
Aug-16,Total,Female,Year 11 or equivalent,251900
Aug-16,Total,Female,Year 10 or equivalent,475600
Aug-17,New South Wales,Male,Postgraduate Degree,167800
Aug-17,New South Wales,Male,Graduate Diploma or Certificate,41200
Aug-17,New South Wales,Male,Bachelor Degree,446600
Aug-17,New South Wales,Male,Advanced Diploma or Diploma,188200
Aug-17,New South Wales,Male,Certificate III or IV,482900
Aug-17,New South Wales,Male,Year 12 or equivalent,346000
Aug-17,New South Wales,Male,Year 11 or equivalent,56600
Aug-17,New South Wales,Male,Year 10 or equivalent,191000
Aug-17,New South Wales,Female,Postgraduate Degree,163500
Aug-17,New South Wales,Female,Graduate Diploma or Certificate,67800
Aug-17,New South Wales,Female,Bachelor Degree,475900
Aug-17,New South Wales,Female,Advanced Diploma or Diploma,227500
Aug-17,New South Wales,Female,Certificate III or IV,238700
Aug-17,New South Wales,Female,Year 12 or equivalent,297300
Aug-17,New South Wales,Female,Year 11 or equivalent,56300
Aug-17,New South Wales,Female,Year 10 or equivalent,157500
Aug-17,Victoria,Male,Postgraduate Degree,140400
Aug-17,Victoria,Male,Graduate Diploma or Certificate,47500
Aug-17,Victoria,Male,Bachelor Degree,337200
Aug-17,Victoria,Male,Advanced Diploma or Diploma,174500
Aug-17,Victoria,Male,Certificate III or IV,419400
Aug-17,Victoria,Male,Year 12 or equivalent,274200
Aug-17,Victoria,Male,Year 11 or equivalent,91300
Aug-17,Victoria,Male,Year 10 or equivalent,99600
Aug-17,Victoria,Female,Postgraduate Degree,134500
Aug-17,Victoria,Female,Graduate Diploma or Certificate,68100
Aug-17,Victoria,Female,Bachelor Degree,404800
Aug-17,Victoria,Female,Advanced Diploma or Diploma,209000
Aug-17,Victoria,Female,Certificate III or IV,184800
Aug-17,Victoria,Female,Year 12 or equivalent,235500
Aug-17,Victoria,Female,Year 11 or equivalent,85500
Aug-17,Victoria,Female,Year 10 or equivalent,87800
Aug-17,Queensland,Male,Postgraduate Degree,57400
Aug-17,Queensland,Male,Graduate Diploma or Certificate,28300
Aug-17,Queensland,Male,Bachelor Degree,200400
Aug-17,Queensland,Male,Advanced Diploma or Diploma,115100
Aug-17,Queensland,Male,Certificate III or IV,385300
Aug-17,Queensland,Male,Year 12 or equivalent,241300
Aug-17,Queensland,Male,Year 11 or equivalent,49800
Aug-17,Queensland,Male,Year 10 or equivalent,120300
Aug-17,Queensland,Female,Postgraduate Degree,54500
Aug-17,Queensland,Female,Graduate Diploma or Certificate,41700
Aug-17,Queensland,Female,Bachelor Degree,263700
Aug-17,Queensland,Female,Advanced Diploma or Diploma,157700
Aug-17,Queensland,Female,Certificate III or IV,185500
Aug-17,Queensland,Female,Year 12 or equivalent,242700
Aug-17,Queensland,Female,Year 11 or equivalent,45300
Aug-17,Queensland,Female,Year 10 or equivalent,114200
Aug-17,South Australia,Male,Postgraduate Degree,23600
Aug-17,South Australia,Male,Graduate Diploma or Certificate,10800
Aug-17,South Australia,Male,Bachelor Degree,63400
Aug-17,South Australia,Male,Advanced Diploma or Diploma,45400
Aug-17,South Australia,Male,Certificate III or IV,121600
Aug-17,South Australia,Male,Year 12 or equivalent,77200
Aug-17,South Australia,Male,Year 11 or equivalent,33400
Aug-17,South Australia,Male,Year 10 or equivalent,36300
Aug-17,South Australia,Female,Postgraduate Degree,18300
Aug-17,South Australia,Female,Graduate Diploma or Certificate,14400
