Year,Sex,State,Industry,Weekly_Sum
2014,Total,New South Wales,"Agriculture, Forestry and Fishing",42397772.8
2014,Total,New South Wales,Mining,71341803.2
2014,Total,New South Wales,Manufacturing,306674343.6
2014,Total,New South Wales,"Electricity, Gas, Water and Waste Services",56197544.2
2014,Total,New South Wales,Construction,291362904.2
2014,Total,New South Wales,Wholesale Trade,170042405.3
2014,Total,New South Wales,Retail Trade,261165606.9
2014,Total,New South Wales,Accommodation and Food Services,131269846.1
2014,Total,New South Wales,"Transport, Postal and Warehousing",252570541.6
2014,Total,New South Wales,Information Media and Telecommunications,138489962.3
2014,Total,New South Wales,Financial and Insurance Services,317854731.9
2014,Total,New South Wales,"Rental, Hiring and Real Estate Services",88616504.4
2014,Total,New South Wales,"Professional, Scientific and Technical Services",402677766
2014,Total,New South Wales,Administrative and Support Services,97868165.1
2014,Total,New South Wales,Public Administration and Safety,284762730.3
2014,Total,New South Wales,Education and Training,329495633.8
2014,Total,New South Wales,Health Care and Social Assistance,455311148.6
2014,Total,New South Wales,Arts and Recreation Services,36317954.7
2014,Total,New South Wales,Other Services,113808847.6
2014,Total,New South Wales,Total,3853618847
2014,Total,Victoria,"Agriculture, Forestry and Fishing",20193903.6
2014,Total,Victoria,Mining,43123799.2
2014,Total,Victoria,Manufacturing,331829802.5
2014,Total,Victoria,"Electricity, Gas, Water and Waste Services",43211935
2014,Total,Victoria,Construction,199568785.9
2014,Total,Victoria,Wholesale Trade,139871936.4
2014,Total,Victoria,Retail Trade,228046433.3
2014,Total,Victoria,Accommodation and Food Services,96543984.1
2014,Total,Victoria,"Transport, Postal and Warehousing",171600508.5
2014,Total,Victoria,Information Media and Telecommunications,90283068.8
2014,Total,Victoria,Financial and Insurance Services,169142229.8
2014,Total,Victoria,"Rental, Hiring and Real Estate Services",51675392.1
2014,Total,Victoria,"Professional, Scientific and Technical Services",307377855.7
2014,Total,Victoria,Administrative and Support Services,78918788.9
2014,Total,Victoria,Public Administration and Safety,189360891.7
2014,Total,Victoria,Education and Training,247675856.2
2014,Total,Victoria,Health Care and Social Assistance,331160297.3
2014,Total,Victoria,Arts and Recreation Services,41759242.5
2014,Total,Victoria,Other Services,74692800.1
2014,Total,Victoria,Total,2851976221
2014,Total,Queensland,"Agriculture, Forestry and Fishing",19480622.5
2014,Total,Queensland,Mining,146890359.1
2014,Total,Queensland,Manufacturing,178533137.6
2014,Total,Queensland,"Electricity, Gas, Water and Waste Services",45132787.5
2014,Total,Queensland,Construction,237868449.6
2014,Total,Queensland,Wholesale Trade,81232051
2014,Total,Queensland,Retail Trade,155823763.7
2014,Total,Queensland,Accommodation and Food Services,92860166.6
2014,Total,Queensland,"Transport, Postal and Warehousing",136754831.3
2014,Total,Queensland,Information Media and Telecommunications,37548290.6
2014,Total,Queensland,Financial and Insurance Services,83684952.3
2014,Total,Queensland,"Rental, Hiring and Real Estate Services",40055018.6
2014,Total,Queensland,"Professional, Scientific and Technical Services",221548802.3
2014,Total,Queensland,Administrative and Support Services,60369351.2
2014,Total,Queensland,Public Administration and Safety,189664845.1
2014,Total,Queensland,Education and Training,199369427.9
2014,Total,Queensland,Health Care and Social Assistance,319448742.9
2014,Total,Queensland,Arts and Recreation Services,24006879.9
2014,Total,Queensland,Other Services,82988077.4
2014,Total,Queensland,Total,2348807767
2014,Total,South Australia,"Agriculture, Forestry and Fishing",20248343.8
2014,Total,South Australia,Mining,23758746.7
2014,Total,South Australia,Manufacturing,77489151.7
2014,Total,South Australia,"Electricity, Gas, Water and Waste Services",15009799.1
2014,Total,South Australia,Construction,48809742.2
2014,Total,South Australia,Wholesale Trade,25831629.7
2014,Total,South Australia,Retail Trade,52157128.2
2014,Total,South Australia,Accommodation and Food Services,23521911
2014,Total,South Australia,"Transport, Postal and Warehousing",40561329.2
2014,Total,South Australia,Information Media and Telecommunications,8528831.5
2014,Total,South Australia,Financial and Insurance Services,21090651.7
2014,Total,South Australia,"Rental, Hiring and Real Estate Services",14668466.4
2014,Total,South Australia,"Professional, Scientific and Technical Services",60577183.6
2014,Total,South Australia,Administrative and Support Services,17947997.4
2014,Total,South Australia,Public Administration and Safety,59800155.6
2014,Total,South Australia,Education and Training,79223243.9
2014,Total,South Australia,Health Care and Social Assistance,101467254.8
2014,Total,South Australia,Arts and Recreation Services,10858197.6
2014,Total,South Australia,Other Services,23004103.5
2014,Total,South Australia,Total,724709958.2
2014,Total,Western Australia,"Agriculture, Forestry and Fishing",8968320.3
2014,Total,Western Australia,Mining,218008972.5
2014,Total,Western Australia,Manufacturing,103344767
2014,Total,Western Australia,"Electricity, Gas, Water and Waste Services",31130193.9
2014,Total,Western Australia,Construction,182618514.6
2014,Total,Western Australia,Wholesale Trade,59730084.7
2014,Total,Western Australia,Retail Trade,92915531.3
2014,Total,Western Australia,Accommodation and Food Services,41296193.2
2014,Total,Western Australia,"Transport, Postal and Warehousing",84825144.3
2014,Total,Western Australia,Information Media and Telecommunications,14139407.6
2014,Total,Western Australia,Financial and Insurance Services,43465909.4
2014,Total,Western Australia,"Rental, Hiring and Real Estate Services",38452486.3
2014,Total,Western Australia,"Professional, Scientific and Technical Services",163251353
2014,Total,Western Australia,Administrative and Support Services,31370237.8
2014,Total,Western Australia,Public Administration and Safety,108857617.4
2014,Total,Western Australia,Education and Training,109496053.4
2014,Total,Western Australia,Health Care and Social Assistance,162003627.6
2014,Total,Western Australia,Arts and Recreation Services,19486479
2014,Total,Western Australia,Other Services,49115059.1
2014,Total,Western Australia,Total,1556945150
2014,Total,Tasmania,"Agriculture, Forestry and Fishing",6026742.4
2014,Total,Tasmania,Mining,5121083.1
2014,Total,Tasmania,Manufacturing,18261137.2
2014,Total,Tasmania,"Electricity, Gas, Water and Waste Services",4667852.1
2014,Total,Tasmania,Construction,13821901.2
2014,Total,Tasmania,Wholesale Trade,7789916.8
2014,Total,Tasmania,Retail Trade,18083730.2
2014,Total,Tasmania,Accommodation and Food Services,8232674.1
2014,Total,Tasmania,"Transport, Postal and Warehousing",10958013.5
2014,Total,Tasmania,Information Media and Telecommunications,4125472.1
2014,Total,Tasmania,Financial and Insurance Services,6724402
2014,Total,Tasmania,"Rental, Hiring and Real Estate Services",2232673.3
2014,Total,Tasmania,"Professional, Scientific and Technical Services",10009955.4
2014,Total,Tasmania,Administrative and Support Services,3039573.8
2014,Total,Tasmania,Public Administration and Safety,20728037
2014,Total,Tasmania,Education and Training,21099902.6
